record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error
326,31073695,Binge drinking is associated with altered resting state functional connectivity of reward-salience and top down control networks.,2020,Brain imaging and behavior,impulsivity resting state functional connectivity,"salience/ventral attention network, frontoparietal/control network",functional connectivity,impulsivity (general),"binge drinking, light drinking",associated_with,higher,dysregulation of neurofunctional networks,direct,0.8,BDs demonstrated lower connectivity between the IFC and hippocampus which was associated with higher craving.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,lower,The sentence does not directly support the claim's direction (higher) and directness (direct).,
327,42146757,Resting-State Functional Connectivity Alterations in Pediatric Survivors of Severe COVID-19: An Exploratory Case-Control Study.,2026,Sage open pediatrics,impulsivity resting state functional connectivity,unknown,functional connectivity,impulsivity (general),severe COVID-19,correlates_with,unclear,,indirect,0.5,"In an exploratory subset (8 post-COVID, 12 controls), 50% of post-COVID children had abnormally low Timeliness and 25% low Impulsivity MOXO-d-CPT z-scores, whereas no controls were abnormal.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (specific to MOXO-d-CPT),behavioral test score,decreases,"The sentence partially supports the claim by mentioning a group difference in impulsivity, but the relationship is not explicitly stated as a correlation. The direction is unclear, and the feature type is not functional connectivity but rather a behavioral test score. The phenotype should be revised to be more specific to the MOXO-d-CPT test.",
328,31197580,Relationship of negative urgency to cingulo-insular and cortico-striatal resting state functional connectivity in tobacco use.,2020,Brain imaging and behavior,impulsivity resting state functional connectivity,unknown,functional connectivity,unknown,tobacco use,correlates_with,unclear,,direct,0.8,"In the whole sample, negative urgency was positively correlated with rsFC between the left insula and right dorsal anterior cingulate cortex (dACC).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,negative urgency,functional connectivity,positive,The sentence clearly supports the claim with a direct and positive correlation between negative urgency and functional connectivity between the left insula and right dorsal anterior cingulate cortex.,
329,40305882,"Functional connectivity anomalies in medication-naive children with ADHD: Diagnostic potential, symptoms interpretation, and a mediation model.",2025,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,impulsivity resting state functional connectivity,unknown,EEG connectivity,impulsivity (general),ADHD,correlates_with,unclear,compensatory,indirect,0.89,Left parietal θ band hyper-connectivity (C3-P7) correlated with both inattention and hyperactivity/impulsivity and mediated their interrelationship.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),EEG connectivity,positive,"The sentence clearly supports the extracted claim, mentioning a specific brain region (left parietal) and frequency band (θ band) that correlates with impulsivity, which is a feature of the phenotype. The relationship is also clearly stated as correlation, and the direction can be inferred as positive. The directness is also supported as the sentence mentions both the phenotype and feature.",
330,35831231,Functional Connectivity in Compulsive Sexual Behavior Disorder - Systematic Review of Literature and Study on Heterosexual Males.,2022,The journal of sexual medicine,impulsivity resting state functional connectivity,unknown,functional connectivity,impulsivity (general),Compulsive Sexual Behavior Disorder (CSBD),correlates_with,unclear,,indirect,0.5,No significant correlations between psychological questionnaires assessing CSBD symptoms and resting-state functional connectivity were observed.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,unclear,unclear,no,,,,"The sentence does not support the claim because it mentions a lack of correlation, which is the opposite of the 'correlates_with' relationship.",
331,25237118,Resting state functional magnetic resonance imaging reveals distinct brain activity in heavy cannabis users - a multi-voxel pattern analysis.,2014,"Journal of psychopharmacology (Oxford, England)",impulsivity resting state functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,correlates_with,unclear,,indirect,0.6,High correlations were also found between the overall classification accuracy and Barrett Barrett Impulsiveness Scale factor scores of attention and motor.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),behavioral score,positive,"The sentence supports the phenotype and feature, but the direction is unclear. The relationship is also supported, but the directness is indirect. The corrected phenotype, feature type, and direction are based on the extracted claim.",
332,26582309,Decreased functional connectivity between ventral tegmental area and nucleus accumbens in Internet gaming disorder: evidence from resting state functional magnetic resonance imaging.,2015,Behavioral and brain functions : BBF,impulsivity resting state functional connectivity,unknown,functional connectivity,impulsivity (general),Internet gaming disorder,associated_with,lower,,direct,0.85,"In comparison with HCs, individuals with IGD had significantly decreased rsFC between the VTA and right NAcc.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence directly compares individuals with IGD to HCs, and states a significant decrease in rsFC between the VTA and right NAcc, which matches the extracted claim.",
333,32699511,Neurobiological mechanisms underlying internet gaming disorder .,2020,Dialogues in clinical neuroscience,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),internet gaming disorder,associated_with,unclear,,direct,0.7,reduced activity in impulse control areas and impaired decision making,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,yes,no,impulsivity (general),functional connectivity,decreased,"The sentence partially supports the claim by mentioning a phenotype (impulsivity) and a feature (decision making), but the direction is unclear. The corrected phenotype and feature type match the extracted claim. The corrected direction is inferred as 'decreased' based on the phrase 'reduced activity'.",
334,38320657,Effects of internet and smartphone addiction on cognitive control in adolescents and young adults: A systematic review of fMRI studies.,2024,Neuroscience and biobehavioral reviews,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,,indirect,0.7,"Included studies (n = 21) revealed that both behavioral addictions were associated with impairments in cognitive control related to reward processing (ACC, insula, amygdala) and executive function (DLPFC, frontal, parietal lobes) in adolescents and young adults.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,unclear,"The sentence partially supports the claim, but the direction is unclear and the directness is indirect. The phenotype and feature are supported, but the direction and directness need correction.",
335,38888924,Efficacy and Neural Mechanisms of Mindfulness Meditation Among Adults With Internet Gaming Disorder: A Randomized Clinical Trial.,2024,JAMA network open,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),Internet Gaming Disorder,associated_with,unclear,altering frontopallidal pathways,indirect,0.7,"Increased MFG-lentiform FC and decreased craving (pretest vs posttest: mean [SD], 58.8 [15.7] vs 33.6 [12.0]; t = -8.66; ƞ2 = 0.30; P < .001) was observed after MM, and changes in MFG-lentiform FC mediated the relationship between increased mindfulness and decreased craving (mediate effect, -0.17; 95% CI, -0.32 to -0.08; P = .03).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,decreased,"The sentence clearly supports the claim by stating a decrease in craving, which is associated with the phenotype of impulsivity. The feature type is also supported as functional connectivity. The relationship is supported as associated with, and the direction is supported as decreased. The directness is supported as indirect, as the sentence mentions a mediator (changes in MFG-lentiform FC).",
336,40913110,Impulsivity and neuroticism share distinct functional connectivity signatures with alcohol-use risk in youth.,2026,Molecular psychiatry,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,,direct,0.8,The impulsivity network was predominantly characterized by motor/sensory-related connections.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,positive,"The sentence supports the phenotype and feature, but the direction is unclear. The sentence does not name the direction, but the corrected direction is assumed to be positive based on the context. The directness is also unclear because the sentence does not name both phenotype and feature. The corrected feature type is assumed to be functional connectivity based on the context.",
337,32035425,Ventromedial prefrontal value signals and functional connectivity during decision-making in suicidal behavior and impulsivity.,2020,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),suicidal behavior and depression,correlates_with,unclear,,direct,0.8,"In nonpsychiatric controls, vmPFC-frontoparietal connectivity was negatively moderated by impulsivity (pFWE corrected < 0.05).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,negatively correlates with,"The sentence clearly supports the extracted claim, mentioning impulsivity as the phenotype, functional connectivity as the feature type, a correlation as the relationship, a negative direction, and a direct association.",
338,41088106,Effects of progressive aerobic training on neural synchrony and functional connectivity in internet gaming disorder: a randomized controlled fMRI study.,2025,BMC psychiatry,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),Internet gaming disorder,reduced,lower,,direct,0.8,fMRI results revealed increased ISC in the left postcentral gyrus and decreased ISC in the left caudate and right precentral gyrus. Caudate ISC changes correlated with IAT improvements.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,lower,"The sentence partially supports the claim, but the direction and directness need to be revised. The sentence mentions a decrease in ISC in the left caudate, which is associated with IAT improvements, but it does not directly support the relationship between impulsivity and functional connectivity. The corrected phenotype, feature type, and direction should be used.",
339,39743174,The intrinsic functional connectivity of psychopathy and its relation to self-control.,2025,Biological psychology,impulsivity fMRI functional connectivity,"default mode network, salience network, dorsal attention network",functional connectivity,impulsivity (general),psychopathy,correlates_with,unclear,,direct,0.85,Both the psychopathy-associated positive and negative networks were significantly correlated with measures of self-control and impulsivity.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,yes,no,impulsivity (general),functional connectivity,positively correlates with,"The sentence supports the phenotype and feature, but the direction is unclear. The corrected direction should be 'positively correlates with' to capture the relevant part of the sentence.",
340,26969418,Aberrant interhemispheric functional and structural connectivity in heroin-dependent individuals.,2017,Addiction biology,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),heroin-dependent individuals,correlates_with,higher,,direct,0.85,"VMHC in the dorsal lateral prefrontal cortex (DLPFC) correlated with genu CC volume, VMHC in the putamen, VMHC in the DLPFC and genu CC volume and splenium CC volume were negatively correlated with heroin duration and impulsivity traits.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity traits,structural connectivity,lower,"The sentence partially supports the claim, but the direction is mixed and the feature type is not exactly 'functional connectivity'. The corrected phenotype and feature type are 'impulsivity traits' and 'structural connectivity', respectively. The corrected direction is 'lower' because the sentence states that VMHC in the DLPFC and genu CC volume and splenium CC volume were negatively correlated with heroin duration and impulsivity traits.",
341,37248201,Corticostriatal connectivity mediates the reciprocal relationship between parent-reported sleep duration and impulsivity in early adolescents.,2023,"Journal of child psychology and psychiatry, and allied disciplines",impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,mediates,higher,corticostriatal connectivities,direct,0.85,"In addition, we observed a link between short sleep duration and reduced corticostriatal connectivity.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence directly supports the claim with the correct phenotype, feature, relationship, and direction.",
342,39559854,Connectivity-Based Real-Time Functional Magnetic Resonance Imaging Neurofeedback in Nicotine Users: Mechanistic and Clinical Effects of Regulating a Meta-Analytically Defined Target Network in a Double-Blind Controlled Trial.,2024,Human brain mapping,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),nicotine users,unclear,unclear,,indirect,0.2,Secondary outcomes were (1) neurofeedback-specific changes in functional connectivity of the target network; (2) changes in smoking behavior and impulsivity measures; and (3) changes in resting-state connectivity profiles.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,no,no,no,no,impulsivity (general),functional connectivity,,"The sentence partially supports the claim by mentioning impulsivity measures, but the relationship and direction are unclear. The corrected phenotype and feature type are already provided in the extracted claim.",
343,40200728,Reproducible Effects of Sex and Acquisition Order on Multiple Global Signal Metrics: Implications for Functional Connectivity Studies of Phenotypic Individual Differences Using fMRI.,2025,Brain and behavior,impulsivity fMRI functional connectivity,unknown,BOLD variability,impulsivity (general),unknown,associated_with,unclear,,indirect,0.3,"In addition, effects of paradigm acquisition order were observed on GS measures, including an increase in BOLD signal variance across time.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),BOLD variability,increased,"The sentence supports the phenotype and feature, but the direction is not explicitly stated. The relationship is also supported, but the directness is not fully captured. The corrected phenotype, feature type, and direction are based on the sentence's content.",
344,36987598,Transdiagnostic Connectome-Based Prediction of Craving.,2023,The American journal of psychiatry,impulsivity fMRI functional connectivity,"salience, subcortical, default mode networks",functional connectivity,unknown,transdiagnostic sample of individuals with and without substance use-related conditions,predicts,higher,,direct,0.85,"Anatomical localization of model contribution suggested that the strongest predictors of craving were regions of the salience, subcortical, and default mode networks.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,craving,functional connectivity,higher,The sentence clearly supports the claim by mentioning the strongest predictors of craving in specific brain networks.,
345,40541132,Food addiction severity is associated with decreased functional connectivity and responses to palatable food pictures in brain areas involved in emotion and cognitive control.,2025,"Clinical nutrition (Edinburgh, Scotland)",impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),food addiction,associated_with,lower,,direct,0.85,"FA severity correlated negatively with functional connectivity (FC) between several brain regions, such as the anterior cingulate cortex and left accumbens, and positively with FC between the left amygdala and hippocampus (cluster/connection: pFDR<0.05, false discovery rate correction).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the extracted claim by stating a negative correlation between FA severity and functional connectivity between brain regions, which aligns with the relationship 'associated_with' and direction 'lower'.",
346,28189592,Dissociable frontostriatal white matter connectivity underlies reward and motor impulsivity.,2017,NeuroImage,impulsivity fMRI functional connectivity,unknown,structural connectivity,impulsivity (general),unknown,associated_with,unclear,,direct,0.8,"We found a double dissociation such that individual differences in white matter connectivity between the ventral striatum and the ventromedial prefrontal cortex and dorsolateral prefrontal cortex was associated with reward impulsivity, as measured by delay discounting, whereas connectivity between dorsal striatum and supplementary motor area was associated with motor impulsivity, but not vice versa.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,unclear,"The sentence clearly supports the extracted claim, mentioning a direct association between white matter connectivity and impulsivity. The direction is unclear, but the extracted direction captures this accurately. The sentence does not overclaim, as it only mentions group differences in impulsivity.",
347,30273626,Mesolimbic connectivity signatures of impulsivity and BMI in early adolescence.,2019,Appetite,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,correlates_with,higher,,direct,0.85,"Connectivity within this network which included the hippocampi, amygdalae, parahippocampal gyri and the regions of interest, correlated positively with impulsivity and BMI Z-score for age and negatively with sensation-seeking.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,,,,"The sentence clearly supports the extracted claim, mentioning a direct correlation between impulsivity and functional connectivity in the brain regions mentioned.",
348,39153422,A comprehensive systematic review of fMRI studies on brain connectivity in healthy children and adolescents: Current insights and future directions.,2024,Developmental cognitive neuroscience,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,unknown,unclear,,background,,,no,evidence_strength not a number,yes,no,unclear,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,no,no,no,,,,"The sentence does not mention impulsivity or functional connectivity, so it does not support the extracted claim.",
349,39103090,Individualized prediction of online shopping addiction from whole-brain functional connectivity.,2024,Neuropsychologia,impulsivity fMRI functional connectivity,default mode network,functional connectivity,impulsivity (general),predicting OSA tendency,mediates,lower,the strength of the negative network mediated the relationship between OSA and impulsivity,direct,0.85,"Moreover, the strength of the negative network mediated the relationship between OSA and impulsivity, highlighting that the negative network underlies the impulsivity characteristic of OSA.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,,
350,28231395,Functional connectivity in amygdalar-sensory/(pre)motor networks at rest: new evidence from the Human Connectome Project.,2017,The European journal of neuroscience,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,,indirect,0.3,"rs-fMRI studies are now warranted to examine potential abnormalities in this circuit in psychiatric and neurological diseases that may be associated with alterations in the amygdala-sensory/(pre)motor pathways (e.g. conversion disorders, impulse control disorders, amyotrophic lateral sclerosis and multiple sclerosis).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,no,no,yes,,,,"The sentence mentions a group difference (psychiatric and neurological diseases) but not a phenotype-feature association, and it does not support the extracted claim.",
351,33236526,Reduced frontostriatal functional connectivity and associations with severity of Internet gaming disorder.,2021,Addiction biology,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),Internet gaming disorder,associates_with,lower,,direct,0.85,"Decreased FC was predominantly observed in IGD subjects, with IGD subjects showing decreased FC between the putamen and superior frontal gyrus (SFG), middle frontal gyrus (MFG), and inferior frontal gyrus (IFG) and the ventral striatum and IFG, superior temporal gyrus, and MFG.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the extracted claim by stating a direct association between reduced frontostriatal functional connectivity and Internet gaming disorder, with a specific direction (lower) and a direct relationship.",
352,38715980,Identifying ADHD-Related Abnormal Functional Connectivity with a Graph Convolutional Neural Network.,2024,Neural plasticity,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),ADHD,associated_with,unclear,,indirect,0.7,"Our results suggest that the frontal, temporal, parietal, and cerebellar regions are likely the primary areas of dysfunction in individuals with ADHD.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,unclear,unclear,no,,,,"The sentence does not mention a phenotype-feature association, and it does not support the extracted claim.",
353,33564081,Alterations in reward network functional connectivity are associated with increased food addiction in obese individuals.,2021,Scientific reports,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),food addiction,associated_with,higher,dysregulation of the dopaminergic pathway,direct,0.8,Individuals with food addiction showed greater connectivity between regions of the reward network suggesting dysregulation of the dopaminergic pathway.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning the association between impulsivity (general) and functional connectivity in the context of food addiction, with a higher direction and direct relationship.",
354,35835210,Fronto-striatal connectivity patterns account for the impact of methylphenidate on choice impulsivity among healthy adults.,2022,Neuropharmacology,impulsivity fMRI functional connectivity,unknown,functional connectivity,nonplanning impulsivity,unknown,associated_with,lower,,direct,0.9,"Notably, the more putamen-mPFC functional connectivity increased during non-impulsive choices following MPH administration, the less an individual was likely to make impulsive choices.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,functional connectivity,lower,The sentence clearly supports the extracted claim by stating a direct association between increased putamen-mPFC functional connectivity and lower nonplanning impulsivity.,
355,36244800,Neuroanatomical Correlates of Emotion-Related Impulsivity.,2023,Biological psychiatry,impulsivity fMRI functional connectivity,unknown,covariates,impulsivity (general),unknown,associated_with,higher,,indirect,0.7,"Lower cortical gyrification in the right lateral OFC was associated with high ERI severity in a full, preregistered model.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),covariates,higher,"The sentence clearly supports the extracted claim, mentioning a specific brain region (right lateral OFC) associated with a phenotype (high ERI severity) and a feature (lower cortical gyrification). The direction and directness are also clearly stated.",
356,24878823,"Interindividual differences in cognitive flexibility: influence of gray matter volume, functional connectivity and trait impulsivity.",2015,Brain structure & function,impulsivity fMRI functional connectivity,unknown,functional connectivity,unknown,unknown,correlated_with,higher,,direct,0.9,"card-sorting performance correlated positively with GMV of the right anterior insula, FC between bilateral anterior insula and midcingulate cortex/supplementary motor area as well as the impulsivity dimension 'Premeditation.'",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,card-sorting performance,gray matter volume,higher,"The sentence clearly supports the extracted claim, mentioning a direct relationship between card-sorting performance and higher GMV of the right anterior insula, as well as higher FC between bilateral anterior insula and midcingulate cortex/supplementary motor area and impulsivity dimension 'Premeditation'.",
357,40768779,Aberrant degree centrality and functional connectivity in patients with internet gaming disorder.,2025,Journal of psychiatric research,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),internet gaming disorder,associated_with,unclear,,indirect,0.7,"The AUC values of DC, FC and the combined analysis for distinguishing IGD patients from HCs were 0.738, 0.850 and 0.864, respectively.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,unclear,unclear,unclear,,,,"The sentence does not mention impulsivity or any other phenotype, and does not mention functional connectivity as a feature type. It also does not mention a relationship between the phenotype and feature.",
358,36958794,Adaptive control of functional connectivity: dorsal and ventral limbic divisions regulate the dorsal and ventral neocortical networks.,2023,"Cerebral cortex (New York, N.Y. : 1991)",impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,,indirect,0.3,"We review evidence indicating that the dorsal, archicortical division of the limbic system provides a feedforward, impulsive, endogenous mode of motive control, whereas the ventral, paleocortical limbic division provides feedback constraint linked to exogenous events.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,unclear,"The sentence clearly supports the extracted claim by mentioning the association between the dorsal limbic division and impulsivity, and the ventral limbic division and feedback constraint. The direction is unclear but matches the extracted claim. The directness is also supported as the sentence mentions both the phenotype and feature.",
359,38598290,"Effects of bilateral tDCS over DLPFC on response inhibition, craving, and brain functional connectivity in Internet gaming disorder: A randomized, double-blind, sham-controlled trial with fMRI.",2024,Journal of behavioral addictions,impulsivity fMRI functional connectivity,unknown,functional connectivity,nonplanning impulsivity,Internet gaming disorder,correlates_with,unclear,,direct,0.7,The rsFC between the ACC and left middle frontal gyrus was negatively correlated with the SSRT.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,yes,no,nonplanning impulsivity,functional connectivity,positively,"The sentence supports the phenotype (nonplanning impulsivity) and feature (functional connectivity), but the direction is unclear. The relationship is also supported as it mentions a correlation. However, the direction is stated as negative, which contradicts the expected positive correlation with nonplanning impulsivity. The directness is supported as it names both phenotype and feature.",
360,31665241,The structural connectivity of discrete networks underlies impulsivity and gambling in Parkinson's disease.,2019,Brain : a journal of neurology,impulsivity fMRI functional connectivity,unknown,structural connectivity,impulsivity (general),Parkinson's disease,associated_with,unclear,,direct,0.8,"Larger bet sizes in the virtual casino were associated with greater connectivity of the reward evaluation network, particularly bilateral fibre tracts between the ventral striatum and ventromedial prefrontal cortex.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,greater,"The sentence clearly supports the phenotype (impulsivity), feature (structural connectivity), relationship (associated_with), direction (greater), and directness (direct) when stated.",
361,32434751,Increased functional connectivity in gambling disorder correlates with behavioural and emotional dysregulation: Evidence of a role for the cerebellum.,2020,Behavioural brain research,impulsivity fMRI functional connectivity,cerebellum,functional connectivity,impulsivity (general),gambling disorder,correlates_with,higher,,direct,0.8,"Moreover, a significant correlation between behavioural parameters and the strength of the resting-state cerebellar network was found.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,higher,"The sentence partially supports the claim but needs revision or is indirect. The phenotype 'impulsivity (general)' is supported, but the feature type 'functional connectivity' is not explicitly mentioned in the sentence. The relationship 'correlates_with' is supported, but the direction 'higher' is not explicitly mentioned in the sentence. The directness 'direct' is not supported because the sentence does not name both phenotype and feature.",
362,37721727,Acupuncture modulates the functional connectivity among the subcortical nucleus and fronto-parietal network in adolescents with internet addiction.,2023,Brain and behavior,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),internet addiction,modulates,lower,decreased functional connectivity between subcortical nucleus and fronto-parietal network,direct,0.85,"After 40 days of acupuncture treatment, the FC within the FPN and between the SN and FPN were significantly decreased in individuals with IA.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,,
363,25282597,Differences in functional connectivity between alcohol dependence and internet gaming disorder.,2015,Addictive behaviors,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),"alcohol dependence, internet gaming disorder",associated_with,unclear,,indirect,0.7,"Both AD and IGD subjects have positive functional connectivity between the dorsolateral prefrontal cortex (DLPFC), cingulate, and cerebellum. In addition, both groups have negative functional connectivity between the DLPFC and the orbitofrontal cortex.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,positive,"The sentence supports the phenotype and feature, but the direction is not clear. The corrected direction is 'positive' based on the words 'positive functional connectivity'. The sentence does not name the phenotype and feature directly, so directness_supported is false.",
364,25853901,Impaired functional connectivity within and between frontostriatal circuits and its association with compulsive drug use and trait impulsivity in cocaine addiction.,2015,JAMA psychiatry,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),cocaine addiction,associated_with,higher,,direct,0.85,increased striatal-dorsal lateral prefrontal cortex connectivity strength was positively correlated with the amount of recent cocaine use (uncorrected P < .046) and elevated trait impulsivity in the CUs (uncorrected P < .012),yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,The sentence clearly supports the extracted claim by stating a direct association between increased functional connectivity and higher impulsivity in cocaine addiction.,
365,36149062,Reduced brain activity and functional connectivity during creative idea generation in individuals with smartphone addiction.,2023,Social cognitive and affective neuroscience,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),smartphone addiction,associated_with,lower,,direct,0.85,"In the SAT group, the PFC was less active under constraint than unconstraint conditions. Moreover, both task-related and resting-state functional connectivity analyses indicated weaker coupling between the PFC and temporal regions in the SAT than in the HC group.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity (general) and reduced functional connectivity in the SAT group compared to the HC group.",
