record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,model_label,consensus_models,consensus_model_count
339,39743174,The intrinsic functional connectivity of psychopathy and its relation to self-control.,2025,Biological psychology,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),psychopathy,associated_with,unclear,unknown,indirect,0.8,Both the psychopathy-associated positive and negative networks were significantly correlated with measures of self-control and impulsivity.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,positive and negative networks are associated with increased impulsivity,"The sentence partially supports the claim but needs revision or is indirect. The direction is unclear and the directness is indirect. The corrected phenotype, feature type, and direction are provided.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
346,28189592,Dissociable frontostriatal white matter connectivity underlies reward and motor impulsivity.,2017,NeuroImage,impulsivity fMRI functional connectivity,unknown,structural connectivity,impulsivity (general),unknown,associated_with,unclear,unknown,direct,0.8,"We found a double dissociation such that individual differences in white matter connectivity between the ventral striatum and the ventromedial prefrontal cortex and dorsolateral prefrontal cortex was associated with reward impulsivity, as measured by delay discounting, whereas connectivity between dorsal striatum and supplementary motor area was associated with motor impulsivity, but not vice versa.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (reward),structural connectivity,positive,"The sentence clearly supports the claim, mentioning a specific type of impulsivity (reward impulsivity) and a specific type of structural connectivity (white matter connectivity between the ventral striatum and the ventromedial prefrontal cortex and dorsolateral prefrontal cortex). The direction of the association is also clear (positive).",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
347,30273626,Mesolimbic connectivity signatures of impulsivity and BMI in early adolescence.,2019,Appetite,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,unknown,indirect,0.8,"Connectivity within this network which included the hippocampi, amygdalae, parahippocampal gyri and the regions of interest, correlated positively with impulsivity and BMI Z-score for age and negatively with sensation-seeking.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,positive,"The sentence clearly supports the phenotype (impulsivity), feature (functional connectivity), relationship (associated with), direction (positive), and directness (indirect) when stated. The corrected fields are the same as the original claim, indicating that no correction is needed.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
351,33236526,Reduced frontostriatal functional connectivity and associations with severity of Internet gaming disorder.,2021,Addiction biology,impulsivity fMRI functional connectivity,frontostriatal,functional connectivity,impulsivity (general),Internet gaming disorder,associated_with,lower,functional connectivity,direct,0.8,"Decreased FC was predominantly observed in IGD subjects, with IGD subjects showing decreased FC between the putamen and superior frontal gyrus (SFG), middle frontal gyrus (MFG), and inferior frontal gyrus (IFG) and the ventral striatum and IFG, superior temporal gyrus, and MFG.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the extracted claim by stating a direct association between lower frontostriatal functional connectivity and Internet gaming disorder, which is consistent with the extracted claim's phenotype, feature type, relationship, direction, and directness.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
360,31665241,The structural connectivity of discrete networks underlies impulsivity and gambling in Parkinson's disease.,2019,Brain : a journal of neurology,impulsivity fMRI functional connectivity,unknown,structural connectivity,impulsivity (general),Parkinson's disease,associated_with,unclear,,direct,0.8,"Larger bet sizes in the virtual casino were associated with greater connectivity of the reward evaluation network, particularly bilateral fibre tracts between the ventral striatum and ventromedial prefrontal cortex.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,greater,"The sentence clearly supports the phenotype (impulsivity), feature (structural connectivity), relationship (associated_with), direction (greater), and directness (direct) when stated.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
366,27119360,Decreased functional connectivity of insula-based network in young adults with internet gaming disorder.,2016,Experimental brain research,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),internet gaming disorder,associated_with,lower,altered insula-based network,direct,0.8,"The IGD group showed decreased functional connectivity between left posterior insula and bilateral supplementary motor area and middle cingulated cortex, between right posterior insula and right superior frontal gyrus, and decreased functional integration between insular subregions.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence directly supports the claim by stating a specific association between the phenotype (impulsivity), feature (functional connectivity), and direction (lower) in the context of internet gaming disorder.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
368,38468374,Functional connectivity alterations in individuals with gaming disorder assessed by functional magnetic resonance imaging: a systematic review.,2025,Journal of addictive diseases,impulsivity fMRI functional connectivity,unknown,functional connectivity,unknown,Internet Gaming Disorder (IGD),associated_with,unclear,,background,0.5,The main findings reveal changes such as significant increases or decreases in functional connectivity in certain regions of the brain.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,unknown,functional connectivity,unclear,"The sentence partially supports the claim, but the direction and directness are unclear. The phenotype and feature are supported, but need to be made more specific.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
379,34262129,Dorsal and ventral striatal functional connectivity shifts play a potential role in internet gaming disorder.,2021,Communications biology,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),internet gaming disorder,associated_with,lower,,direct,0.8,IGD relative to RGU subjects showed lower ventral-striatum-to-MFG (mostly involving supplementary motor area (SMA)) and higher dorsal-striatum-to-MFG functional connectivity.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence directly supports the claim by stating a specific association between impulsivity (general) and functional connectivity in the context of internet gaming disorder, with a clear direction of lower connectivity.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
381,41667050,Task-based functional connectivity in internet gaming disorder: A systematic review.,2026,Progress in neuro-psychopharmacology & biological psychiatry,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),internet gaming disorder,associated_with,higher,aberrant functional connectivity,indirect,0.8,"Higher impulsiveness and risk-taking behaviours were observed in IGD individuals, with increased reward network and ECN FC during related tasks.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,yes,no,no,impulsiveness,functional connectivity in reward network and ECN,higher,"The sentence partially supports the claim, but the feature type should be more specific and the directness is indirect.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
382,25553620,A selective involvement of putamen functional connectivity in youth with internet gaming disorder.,2015,Brain research,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),internet gaming disorder,associated_with,lower,,direct,0.8,Adolescents with internet gaming disorder showed significantly reduced dorsal putamen functional connectivity with the posterior insula-parietal operculum.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,The sentence directly supports the claim by stating a specific association between impulsivity (general) and reduced functional connectivity in adolescents with internet gaming disorder.,,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
384,35007715,Risk-taking in humans and the medial orbitofrontal cortex reward system.,2022,NeuroImage,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,reward system,direct,0.9,"Functional connectivities of the medial orbitofrontal cortex, ventromedial prefrontal cortex (VMPFC), and the parahippocampal areas were significantly higher in the risk-taking group (p < 0.001, FDR corrected).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a specific brain region (medial orbitofrontal cortex) and a significant difference in functional connectivities between the risk-taking group and others.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
386,32214339,Alcohol effects on globus pallidus connectivity: Role of impulsivity and binge drinking.,2020,PloS one,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,alcohol-induced changes in GPe circuitry,indirect,0.8,Our data also indicated an association between impulsivity and alcohol-induced deficits in GPe-frontal/precentral connectivity.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,unclear,,,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
392,32361415,Impulsivity Relates to Relative Preservation of Mesolimbic Connectivity in Patients with Parkinson Disease.,2020,NeuroImage. Clinical,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),Parkinson Disease,associated_with,unclear,relative preservation of mesolimbic connectivity,indirect,0.8,Our results show that there is greater probability of connectivity between the SN and limbic network targets relative to motor and associative network targets in PD patients with recent history of severe impulsivity as compared to PD patients without impulsivity (P = 0.0075).,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,greater,"The sentence clearly supports the phenotype, feature, relationship, and direction when stated.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
393,33813866,Aberrant Salient and Corticolimbic Connectivity in Hypersexual Parkinson's Disease.,2021,Brain connectivity,impulsivity fMRI functional connectivity,salience/ventral attention network,functional connectivity,impulsivity (general),Parkinson's disease with hypersexuality,associated_with,unclear,,direct,0.8,Enhanced salience network (SN) activity represented by a significant rise in the right inferior frontal gyrus was found in PD+HS compared with PD-HS.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,increased,"The sentence clearly supports the claim by stating a significant rise in the right inferior frontal gyrus, which is associated with the salience network. This is directly related to the phenotype of impulsivity (general) and the feature type of functional connectivity in the salience/ventral attention network.",,Qwen 2.5 7B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
402,30885789,Whole-brain functional connectivity during script-driven aggression in borderline personality disorder.,2019,Progress in neuro-psychopharmacology & biological psychiatry,impulsivity neuroimaging functional connectivity,unknown,functional connectivity,impulsivity (general),borderline personality disorder,associated_with,unclear,,direct,0.7,We identified a large network showing a significantly stronger increase in connectivity from baseline to the aggression phase in female patients with BPD compared to healthy women.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,increased,"The sentence clearly supports the claim by stating a significant increase in functional connectivity in female patients with BPD compared to healthy women, which is directly related to impulsivity (general).",,Qwen 2.5 7B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
406,38852751,Multimodal neuroimaging fusion unravel structural-functional-neurotransmitter change in Parkinson's disease with impulse control disorders.,2024,Neurobiology of disease,impulsivity neuroimaging functional connectivity,unknown,functional connectivity,impulsivity (general),Parkinson's disease with impulse control disorders,associated_with,lower,co-altered structure-function-neurotransmitter interactions,indirect,0.8,"Compared to PD-NICD, PD-ICD patients showed hypogyrification and enlarged PVS volume fraction in the left orbitofrontal gyrus (OFG), as well as decreased FC between interhemispheric OFG.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,The sentence clearly supports the extracted claim by describing a specific brain region (left orbitofrontal gyrus) and a functional connectivity decrease between interhemispheric OFG in PD-ICD patients compared to PD-NICD patients.,,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
409,37992501,Testing the triple network model of psychopathology in a transdiagnostic neurodevelopmental cohort.,2023,NeuroImage. Clinical,impulsivity neuroimaging functional connectivity,"salience/ventral attention network, frontoparietal/control network, default mode network",functional connectivity,impulsivity (general),transdiagnostic neurodevelopmental difficulties,associated_with,higher,"increased functional connectivity between the SN, CEN, and DMN in at-risk children, decreased functional connectivity between the CEN and DMN in comparison children",direct,0.85,"Hyperactivity/impulsivity was associated with increased functional connectivity between the SN, CEN, and DMN in at-risk children, whereas it was associated with decreased functional connectivity between the CEN and DMN in comparison children.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,,,Qwen 2.5 7B,Llama 3.1 8B;Qwen 2.5 7B,2
413,23223295,Altered functional brain connectivity in a non-clinical sample of young adults with attention-deficit/hyperactivity disorder.,2012,The Journal of neuroscience : the official journal of the Society for Neuroscience,impulsivity neuroimaging functional connectivity,unknown,functional connectivity,impulsivity (general),ADHD,associated_with,unclear,,indirect,0.8,Brain behavior correlations further highlighted the key role of altered orbitofrontal-temporal and frontal-amygdala connectivity for symptoms of inattention and hyperactivity/impulsivity.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,associated_with,"The sentence clearly supports the extracted claim by mentioning the association between altered orbitofrontal-temporal and frontal-amygdala connectivity and symptoms of inattention and hyperactivity/impulsivity, which is a type of impulsivity. The direction of the association is not explicitly stated, but the sentence implies a positive association, which is consistent with the extracted direction. The directness of the association is also supported, as the sentence mentions the symptoms of inattention and hyperactivity/impulsivity, which are the phenotypes of interest. The brain systems mentioned in the sentence (orbitofrontal-temporal and frontal-amygdala) are consistent with the extracted brain system (unknown), and the diagnostic context is ADHD, which is consistent with the extracted diagnostic context.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
414,30616717,Decreased brain connectivity in smoking contrasts with increased connectivity in drinking.,2019,eLife,impulsivity neuroimaging functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,associated_with,lower,,direct,0.8,"Increased impulsivity was found in smokers, associated with decreased functional connectivity of the non-reward-related lateral orbitofrontal cortex; and increased impulsivity was found in high amount drinkers, associated with increased functional connectivity of the reward-related medial orbitofrontal cortex.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the extracted claim, mentioning both phenotype (impulsivity) and feature (functional connectivity), and their relationship (associated with). The direction (lower) is also supported, as the sentence states that decreased functional connectivity is associated with increased impulsivity. The directness is supported because the sentence names both phenotype and feature.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
416,21546000,Atypical prefrontal connectivity in attention-deficit/hyperactivity disorder: pathway to disease or pathological end point?,2011,Biological psychiatry,impulsivity neuroimaging functional connectivity,default mode network,functional connectivity,impulsivity (general),attention-deficit/hyperactivity disorder (ADHD),associated_with,unclear,dysregulated modulation of cortical plasticity,indirect,0.8,"Deficits in functional connectivity within frontostriatal and mesocorticolimbic networks might give rise, in part, to ADHD symptoms.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,unclear,"The sentence partially supports the claim but needs revision or is indirect. The phenotype and feature are mentioned, but the direction is unclear and the directness is indirect. The corrected phenotype, feature type, and direction are provided.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
421,27851842,Estimating the Heritability of Structural and Functional Brain Connectivity in Families Affected by Attention-Deficit/Hyperactivity Disorder.,2017,JAMA psychiatry,impulsivity neuroimaging functional connectivity,unknown,structural connectivity,impulsivity (general),Attention-Deficit/Hyperactivity Disorder,associated_with,lower,disruption of connectivity,indirect,0.5,More symptoms of hyperactivity/impulsivity (t = -2.63; P = .008) and inattention (t = -2.34; P = .02) were associated with decreased functional connectivity within the default mode network.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,impulsivity (general),functional connectivity,lower,"The sentence supports the phenotype, relationship, and direction, but the feature type is not structural connectivity as claimed. The directness is also not supported because the sentence does not name both phenotype and feature.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
425,32568370,The structural connectivity of subthalamic deep brain stimulation correlates with impulsivity in Parkinson's disease.,2020,Brain : a journal of neurology,impulsivity neuroimaging functional connectivity,unknown,structural connectivity,impulsivity (general),Parkinson's disease,correlates_with,higher,differential recruitment of frontostriatal networks,direct,0.9,Greater connectivity of the stimulation site with these frontostriatal networks was related to greater postoperative impulsiveness and disinhibition as assessed by the neuropsychiatric instruments.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,higher,"The sentence clearly supports the extracted claim, mentioning impulsivity as the phenotype, structural connectivity as the feature type, a correlation as the relationship, higher connectivity as the direction, and directness is also supported as the sentence names both phenotype and feature.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
426,37917435,"Parental warmth, stressful life events, and impulsivity: A gene-environment-wide interaction study.",2024,Neuropsychology,impulsivity neuroimaging functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,,indirect,0.8,"The polygenic risk score for parental warmth was significantly correlated with functional connectivity especially the left middle frontal gyrus (MFG)-left inferior occipital and left MFG-left superior frontal gyrus functional connectivity, while the polygenic risk score for more stressful life events was significantly correlated with functional connectivity of left dorsal medial prefrontal cortex (DMPFC) to other regions.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,unclear,"The sentence partially supports the claim, but the direction and directness are unclear. The phenotype is impulsivity, which matches the extracted claim. The feature type is functional connectivity, which also matches. However, the direction is unclear and the directness is indirect, which does not match the extracted claim. The relationship is associated_with, which matches. The brain system is not mentioned, so it cannot be confirmed. The diagnostic context is not mentioned, so it cannot be confirmed. The mechanism is not mentioned, so it cannot be confirmed.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
434,34982027,Dissociation of impulsive traits by subthalamic metabotropic glutamate receptor 4.,2022,eLife,trait impulsivity resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,metabotropic glutamate receptor 4 (mGlu4) function,direct,0.8,"In vivo recorded STN neural activity encoded impulsive action as a separable state from basic motor control, characterized by decoupled STN/substantia nigra pars reticulata (SNr) mesoscale networks.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,unclear,"The sentence clearly supports the phenotype (impulsivity), feature type (functional connectivity), relationship (associated with), direction (unclear), and directness (direct) of the claim. The brain system and diagnostic context are not mentioned in the sentence, but this is acceptable since they are marked as 'unknown' in the claim.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
435,24526181,Trait impulsivity is related to ventral ACC and amygdala activity during primary reward anticipation.,2015,Social cognitive and affective neuroscience,trait impulsivity resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,lower,,direct,0.8,Trait impulsivity was associated with increased activation during anticipation of primary reward in the anterior cingulate cortex (ACC) and amygdala.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,,,,,,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
441,29744800,Trait and state patterns of basolateral amygdala connectivity at rest are related to endogenous testosterone and aggression in healthy young women.,2019,Brain imaging and behavior,trait impulsivity resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,correlates_with,unclear,,indirect,0.5,"Pre-scan T was negatively correlated with basal rsFC between BLA and left superior temporal gyrus (STG; p < .001, p < .05 Family-Wise Error [FWE] cluster-level corrected), which in turn was associated with increased aggression (r = .37, p = .020).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,negatively correlates with,"The sentence clearly supports the extracted claim by stating a correlation between pre-scan testosterone levels and basal functional connectivity between the BLA and left superior temporal gyrus, which in turn is associated with increased aggression. The direction of the correlation is also clearly stated as negative.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
446,32180738,Psychopathy and Corticostriatal Connectivity: The Link to Criminal Behavior in Methamphetamine Dependence.,2020,Frontiers in psychiatry,trait impulsivity resting-state fMRI,unknown,functional connectivity,impulsivity (general),methamphetamine dependence,associated_with,higher,maladaptive and impulsive decision-making processes,indirect,0.8,"Abnormalities in corticostriatal functional connectivity are exhibited in both psychopathic and methamphetamine dependent individuals, which may contribute to criminal behavior through maladaptive and impulsive decision-making processes.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,higher,"The sentence partially supports the claim, but the direction and directness need to be revised to match the extracted claim.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
447,34482279,Risk and resilience for alcohol use disorder revealed in brain functional connectivity.,2021,NeuroImage. Clinical,trait impulsivity resting-state fMRI,unknown,functional connectivity,impulsivity (general),alcohol use disorder,associated_with,unclear,,indirect,0.8,"Risk phenotypes primarily implicated frontal-parietal networks corresponding with executive function, impulsivity, externalizing behaviors, and social-emotional intelligence.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,associated_with,"The sentence partially supports the claim, but the direction and directness need to be revised to match the extracted claim. The sentence does not specify the direction of the association, and it does not name both phenotype and feature explicitly.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
448,30268936,Amygdala-orbitofrontal functional connectivity mediates the relationship between sensation seeking and alcohol use among binge-drinking adults.,2018,Drug and alcohol dependence,trait impulsivity resting-state fMRI,unknown,functional connectivity,impulsivity (general),binge-drinking adults,mediates,lower,functional connectivity,direct,0.9,Individuals with higher weekly alcohol use displayed decreased right amygdala-OFC FC.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,,,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
449,26406311,Intrinsic Affective Network Is Impaired in Children with Attention-Deficit/Hyperactivity Disorder.,2015,PloS one,trait impulsivity resting-state fMRI,unknown,functional connectivity,impulsivity (general),Attention-Deficit/Hyperactivity Disorder,associated_with,lower,impaired functional integration within the affective network,direct,0.8,"Children with ADHD demonstrated less integrated affective network, evidenced by increased bilateral amygdalar and decreased left orbitofrontal connectivity within the affective network compared to healthy controls.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity (general) and impaired functional integration within the affective network, specifically lower functional connectivity within the network.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
453,32289458,Sensation-seeking is related to functional connectivities of the medial orbitofrontal cortex with the anterior cingulate cortex.,2020,NeuroImage,trait impulsivity resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,reward system,direct,0.34,We analysed brain regions involved in sensation-seeking in a large-scale study with 414 participants and showed that the sensation-seeking score could be optimally predicted from the functional connectivity with typically (in different participants) 18 links between brain areas (measured in the resting state with fMRI) with correlation r ​= ​0.34 (p ​= ​7.3 ​× ​10-13) between the predicted and actual sensation-seeking score across all participants.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,positive,"The sentence clearly supports the extracted claim, mentioning a direct relationship between impulsivity (general) and functional connectivity, with a positive direction indicated by the correlation r = 0.34.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
455,23139901,The association between cingulate cortex glutamate concentration and delay discounting is mediated by resting state functional connectivity.,2012,Brain and behavior,trait impulsivity resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,mediated by,direct,0.8,Results showed that delay discounting was associated with both dACC glutamate concentrations and resting state functional connectivity of the dACC with a midbrain region including ventral tegmental area and substantia nigra.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,associated with,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity (general) and functional connectivity, with a specific brain region (dACC) involved.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
463,28860514,Delay discounting is associated with the fractional amplitude of low-frequency fluctuations and resting-state functional connectivity in late adolescence.,2017,Scientific reports,trait impulsivity resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,,direct,0.9,"At the regional level, we found an association between higher DD and greater fALFF in the dorsal anterior cingulate cortex (dACC), which is involved in conflict monitoring and strategy adaptation.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim by stating an association between higher delay discounting (DD) and greater fractional amplitude of low-frequency fluctuations (fALFF) in a specific brain region, the dorsal anterior cingulate cortex (dACC).",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
466,32592635,Altered core networks of brain connectivity and personality traits in internet gaming disorder.,2020,Journal of behavioral addictions,trait impulsivity resting-state fMRI,unknown,functional connectivity,impulsivity (general),internet gaming disorder,associated_with,lower,altered functional and effective connectivity,direct,0.8,IGD participants showed lower functional connectivity between the dorsal lateral prefrontal cortex (DLPFC) and other regions in the CEN than HC participants during resting state.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence directly supports the association between impulsivity (general) and altered functional connectivity in internet gaming disorder, with a lower direction.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
468,40345392,The mediating role of social anxiety in the association between personality traits and Internet addiction and its underlying neural basis.,2025,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,trait impulsivity resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,,indirect,0.8,"fMRI results showed that SA was negatively correlated with precuneus-occipital connectivity, which is associated with emotional face processing and self-focused attention.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,negative,"The sentence partially supports the claim, but the direction and directness need to be revised. The sentence implies a negative association between SA and impulsivity, and a specific brain region (precuneus-occipital) is mentioned, which can be used to infer the feature type (functional connectivity).",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
